1	1	8	1	7	-9	3	6	4	4	7	6	-9	-9	-9	-9
1	2	10	1	7	5	-9	6	4	5	7	5	-9	-9	-9	-9
1	3	11	1	7	4	6	-9	4	5	7	6	-9	-9	-9	-9
1	4	9	0	7	4	4	6	-9	5	7	5	-9	-9	-9	-9
1	5	11	0	7	5	5	6	5	-9	7	6	-9	-9	-9	-9
1	6	10	1	7	4	5	6	3	4	-9	6	-9	-9	-9	-9
1	7	10	1	7	3	5	6	5	3	6	-9	-9	-9	-9	-9
2	1	9	0	9	-9	3	5	3	4	6	6	4	5	-9	-9
2	2	9	0	9	2	-9	4	5	6	5	4	4	5	-9	-9
2	3	9	0	9	5	3	-9	4	3	6	5	4	6	-9	-9
2	4	8	1	9	3	2	5	-9	6	6	5	3	4	-9	-9
2	5	9	1	9	4	4	5	5	-9	5	7	4	5	-9	-9
2	6	9	0	9	3	4	4	4	4	-9	5	4	5	-9	-9
2	7	9	1	9	4	4	6	5	6	5	-9	4	5	-9	-9
2	8	11	0	9	3	4	5	4	5	6	6	-9	5	-9	-9
2	9	8	1	9	3	4	5	5	4	6	7	5	-9	-9	-9
3	1	11	0	5	-9	5	7	5	6	-9	-9	-9	-9	-9	-9
3	2	11	0	5	5	-9	7	6	6	-9	-9	-9	-9	-9	-9
3	3	13	1	5	5	5	-9	6	8	-9	-9	-9	-9	-9	-9
3	4	12	1	5	4	4	6	-9	6	-9	-9	-9	-9	-9	-9
3	5	13	1	5	5	4	7	5	-9	-9	-9	-9	-9	-9	-9
4	1	10	1	10	-9	5	6	6	5	6	5	3	5	7	-9
4	2	10	1	10	3	-9	6	5	4	7	5	4	6	6	-9
4	3	11	1	10	4	6	-9	5	4	6	6	4	5	6	-9
4	4	11	1	10	4	5	6	-9	4	6	6	5	6	7	-9
4	5	10	0	10	3	4	5	5	-9	5	5	3	5	5	-9
4	6	9	1	10	3	4	5	4	4	-9	5	4	5	4	-9
4	7	10	1	10	4	5	5	5	3	6	-9	5	7	7	-9
4	8	11	0	10	5	5	6	6	6	6	5	-9	4	6	-9
4	9	11	1	10	4	5	5	5	4	6	6	4	-9	6	-9
4	10	11	1	10	4	6	6	6	6	6	6	4	6	-9	-9
5	1	13	1	9	-9	6	7	6	7	8	8	6	8	-9	-9
5	2	13	0	9	6	-9	8	6	6	7	8	6	7	-9	-9
5	3	12	1	9	5	6	-9	5	5	8	8	5	7	-9	-9
5	4	11	0	9	6	5	6	-9	6	8	7	6	7	-9	-9
5	5	11	0	9	6	6	7	6	-9	6	7	6	6	-9	-9
5	6	13	1	9	7	6	7	5	7	-9	7	6	8	-9	-9
5	7	13	1	9	6	6	8	6	6	9	-9	5	7	-9	-9
5	8	11	0	9	5	6	7	5	6	7	7	-9	7	-9	-9
5	9	12	1	9	6	6	9	5	5	9	6	6	-9	-9	-9
6	1	12	0	8	-9	3	5	4	5	6	5	6	-9	-9	-9
6	2	9	0	8	3	-9	6	3	4	5	4	4	-9	-9	-9
6	3	9	1	8	3	3	-9	4	2	4	4	3	-9	-9	-9
6	4	11	0	8	4	4	6	-9	4	6	5	4	-9	-9	-9
6	5	11	0	8	3	3	6	5	-9	6	4	3	-9	-9	-9
6	6	12	0	8	4	4	5	3	5	-9	5	4	-9	-9	-9
6	7	11	0	8	3	3	5	6	4	5	-9	4	-9	-9	-9
6	8	11	1	8	3	2	3	4	3	4	4	-9	-9	-9	-9
7	1	10	0	6	-9	5	8	6	6	8	-9	-9	-9	-9	-9
7	2	11	1	6	5	-9	9	7	6	8	-9	-9	-9	-9	-9
7	3	9	1	6	5	7	-9	6	7	7	-9	-9	-9	-9	-9
7	4	9	0	6	6	6	7	-9	6	7	-9	-9	-9	-9	-9
7	5	9	0	6	5	6	6	5	-9	6	-9	-9	-9	-9	-9
7	6	10	0	6	4	5	6	7	6	-9	-9	-9	-9	-9	-9
8	1	10	0	8	-9	4	5	4	4	6	5	5	-9	-9	-9
8	2	10	1	8	2	-9	6	4	3	6	6	4	-9	-9	-9
8	3	11	0	8	4	4	-9	4	4	8	5	5	-9	-9	-9
8	4	10	0	8	4	4	5	-9	4	6	5	5	-9	-9	-9
8	5	11	0	8	4	5	6	4	-9	6	6	4	-9	-9	-9
8	6	13	0	8	4	5	5	5	6	-9	6	5	-9	-9	-9
8	7	10	1	8	2	5	5	4	4	5	-9	4	-9	-9	-9
8	8	10	1	8	4	4	5	4	4	6	5	-9	-9	-9	-9
9	1	12	0	4	-9	6	6	6	-9	-9	-9	-9	-9	-9	-9
9	2	12	1	4	4	-9	6	6	-9	-9	-9	-9	-9	-9	-9
9	3	13	0	4	5	5	-9	7	-9	-9	-9	-9	-9	-9	-9
