1	1	2	3	8	1	10	1	7
1	1	3	6	8	1	11	1	7
1	1	4	4	8	1	9	0	7
1	1	5	4	8	1	11	0	7
1	1	6	7	8	1	10	1	7
1	1	7	6	8	1	10	1	7
1	2	1	5	10	1	8	1	7
1	2	3	6	10	1	11	1	7
1	2	4	4	10	1	9	0	7
1	2	5	5	10	1	11	0	7
1	2	6	7	10	1	10	1	7
1	2	7	5	10	1	10	1	7
1	3	1	4	11	1	8	1	7
1	3	2	6	11	1	10	1	7
1	3	4	4	11	1	9	0	7
1	3	5	5	11	1	11	0	7
1	3	6	7	11	1	10	1	7
1	3	7	6	11	1	10	1	7
1	4	1	4	9	0	8	1	7
1	4	2	4	9	0	10	1	7
1	4	3	6	9	0	11	1	7
1	4	5	5	9	0	11	0	7
1	4	6	7	9	0	10	1	7
1	4	7	5	9	0	10	1	7
1	5	1	5	11	0	8	1	7
1	5	2	5	11	0	10	1	7
1	5	3	6	11	0	11	1	7
1	5	4	5	11	0	9	0	7
1	5	6	7	11	0	10	1	7
1	5	7	6	11	0	10	1	7
1	6	1	4	10	1	8	1	7
1	6	2	5	10	1	10	1	7
1	6	3	6	10	1	11	1	7
1	6	4	3	10	1	9	0	7
1	6	5	4	10	1	11	0	7
1	6	7	6	10	1	10	1	7
1	7	1	3	10	1	8	1	7
1	7	2	5	10	1	10	1	7
1	7	3	6	10	1	11	1	7
1	7	4	5	10	1	9	0	7
1	7	5	3	10	1	11	0	7
1	7	6	6	10	1	10	1	7
2	1	2	3	9	0	9	0	9
2	1	3	5	9	0	9	0	9
2	1	4	3	9	0	8	1	9
2	1	5	4	9	0	9	1	9
2	1	6	6	9	0	9	0	9
2	1	7	6	9	0	9	1	9
2	1	8	4	9	0	11	0	9
2	1	9	5	9	0	8	1	9
2	2	1	2	9	0	9	0	9
2	2	3	4	9	0	9	0	9
2	2	4	5	9	0	8	1	9
2	2	5	6	9	0	9	1	9
2	2	6	5	9	0	9	0	9
2	2	7	4	9	0	9	1	9
2	2	8	4	9	0	11	0	9
2	2	9	5	9	0	8	1	9
2	3	1	5	9	0	9	0	9
2	3	2	3	9	0	9	0	9
2	3	4	4	9	0	8	1	9
2	3	5	3	9	0	9	1	9
2	3	6	6	9	0	9	0	9
2	3	7	5	9	0	9	1	9
2	3	8	4	9	0	11	0	9
2	3	9	6	9	0	8	1	9
2	4	1	3	8	1	9	0	9
2	4	2	2	8	1	9	0	9
2	4	3	5	8	1	9	0	9
2	4	5	6	8	1	9	1	9
2	4	6	6	8	1	9	0	9
2	4	7	5	8	1	9	1	9
2	4	8	3	8	1	11	0	9
2	4	9	4	8	1	8	1	9
2	5	1	4	9	1	9	0	9
2	5	2	4	9	1	9	0	9
2	5	3	5	9	1	9	0	9
2	5	4	5	9	1	8	1	9
2	5	6	5	9	1	9	0	9
2	5	7	7	9	1	9	1	9
2	5	8	4	9	1	11	0	9
2	5	9	5	9	1	8	1	9
2	6	1	3	9	0	9	0	9
2	6	2	4	9	0	9	0	9
2	6	3	4	9	0	9	0	9
2	6	4	4	9	0	8	1	9
2	6	5	4	9	0	9	1	9
2	6	7	5	9	0	9	1	9
2	6	8	4	9	0	11	0	9
2	6	9	5	9	0	8	1	9
2	7	1	4	9	1	9	0	9
2	7	2	4	9	1	9	0	9
